Символ;Вес 1;Вес 2;Вес 3;Вес 4;Вес 5;Вес 6;Вес 7;Вес 8;Вес 9;Центр X;Центр Y;Момент X;Момент Y;Отношение;Профиль X;Профиль Y;Контур
у;0.011594202898550725;0.24057971014492754;0.15942028985507245;0.0;0.3130434782608696;0.06666666666666667;0.1391304347826087;0.06956521739130435;0.0;0.4936454849498328;0.42107023411371236;0.03866341912655712;0.0642786247730264;1.0;0.0,0.0,0.1284829721362229,0.17647058823529413,0.10371517027863783,0.10061919504643961,0.09133126934984519,0.19969040247678016,0.5789473684210522,0.9520123839009289,0.48761609907120784,0.07275541795665631,0.058823529411764705,0.08513931888544878,0.08823529411764706,0.2213622291021672,0.29411764705882354,0.16099071207430404,0.0,0.0;0.0,0.0,0.9385964912280702,0.7192982456140351,0.4736842105263159,0.46783625730994144,0.3947368421052631,0.4444444444444444,0.4707602339181286,0.4444444444444444,0.4444444444444444,0.4181286549707603,0.36549707602339204,0.17251461988304118,0.1111111111111111,0.16666666666666666,0.49415204678362545,0.4853801169590649,0.0,0.0;0.09578402366863906,1
ф;0.007633587786259542;0.1297709923664122;0.05534351145038168;0.16984732824427481;0.18893129770992367;0.1717557251908397;0.06679389312977099;0.18129770992366412;0.02862595419847328;0.4856870229007634;0.5045874926600118;0.053974132769396964;0.04501331170227732;1.0;0.0,0.0,0.606516290726817,0.837092731829574,0.40601503759398505,0.25814536340852123,0.3959899749373433,0.7318295739348369,0.7393483709273183,0.7593984962406013,0.7769423558897244,0.7142857142857143,0.6842105263157897,0.4385964912280706,0.23809523809523808,0.406015037593985,0.7543859649122804,0.5288220551378453,0.0,0.0;0.0,0.16290726817042603,0.2681704260651629,0.23809523809523808,0.23809523809523808,0.21052631578947364,0.7669172932330827,0.7719298245614036,0.7644110275689224,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.847117794486215,0.558897243107771,0.25062656641604014,0.23809523809523808,0.2681704260651626,0.5213032581453654,0.0;0.10465976331360946,4
х;0.021413276231263382;0.17987152034261242;0.16059957173447537;0.0;0.2740899357601713;0.0;0.12205567451820129;0.1905781584582441;0.05139186295503212;0.5156069840224016;0.4866578817328282;0.03201492083968434;0.06773153262628978;1.0;0.0,0.0,0.10526315789473684,0.2692307692307692,0.21255060728744946,0.20850202429149794,0.2651821862348178,0.3076923076923077,0.5728744939271253,0.917004048582996,0.9878542510121456,0.9190283400809715,0.5829959514170043,0.2773279352226724,0.25303643724696345,0.3947368421052632,0.34817813765182193,0.11943319838056743,0.0,0.0;0.0,0.0,0.3615560640732265,0.9084668192219679,0.8146453089244851,0.4668192219679635,0.3867276887871854,0.38215102974828374,0.2837528604118994,0.2608695652173913,0.29748283752860405,0.3935926773455378,0.35697940503432485,0.38672768878718516,0.4599542334096109,0.6864988558352404,0.9176201372997713,0.3409610983981705,0.0,0.0;0.10983727810650888,1
ц;0.12321428571428572;0.08214285714285714;0.14642857142857144;0.22321428571428573;0.10892857142857143;0.19642857142857142;0.010714285714285714;0.05178571428571429;0.05714285714285714;0.4948832417582417;0.42057005494505495;0.054445368869626254;0.04214225217176367;1.0;0.0,0.0,0.08529945553539017,0.42105263157894735,0.6969147005444645,0.896551724137931,0.6823956442831217,0.4627949183303086,0.10526315789473692,0.03992740471869326,0.06896551724137931,0.2087114337568059,0.6769509981851177,0.9274047186932848,0.7731397459165155,0.6533575317604355,0.386569872958258,0.08529945553539095,0.0,0.0;0.0,0.0,0.6189473684210526,0.6757894736842106,0.6610526315789474,0.5768421052631579,0.6357894736842106,0.631578947368421,0.6631578947368422,0.6,0.6736842105263158,0.6821052631578948,0.9747368421052633,0.130526315789476,0.16631578947368406,0.2,0.2,0.17473684210526338,0.0,0.0;0.07359467455621302,2
ч;0.11602209944751381;0.06998158379373849;0.13443830570902393;0.15653775322283608;0.1270718232044199;0.19521178637200737;0.0;0.11602209944751381;0.0847145488029466;0.5306346508003966;0.4487179487179487;0.04366837575530839;0.04570860621646852;1.0;0.0,0.0,0.0,0.06896551724137931,0.4210526315789473,0.8275862068965517,0.8366606170598913,0.4156079854809439,0.12159709618874777,0.06896551724137931,0.074410163339383,0.43375680580762266,0.7731397459165152,0.9854809437386564,0.8765880217785844,0.662431941923775,0.38475499092559007,0.038112522686025954,0.0,0.0;0.0,0.0,0.22315789473684206,0.8315789473684211,0.6105263157894737,0.56,0.5642105263157895,0.568421052631579,0.5810526315789474,0.6063157894736841,0.8673684210526315,0.7557894736842103,0.28,0.28,0.32,0.3705263157894737,0.44210526315789483,0.20421052631579012,0.0,0.0;0.09652366863905325,1
ш;0.10889570552147239;0.06901840490797546;0.07208588957055215;0.12269938650306748;0.14263803680981596;0.1411042944785276;0.11349693251533742;0.1196319018404908;0.11042944785276074;0.47513567720622935;0.514865502595564;0.06533552175940907;0.05035621217145665;1.0;0.0,0.0,0.4502923976608187,0.868421052631579,0.7105263157894738,0.2719298245614037,0.08333333333333333,0.05555555555555555,0.45175438596491196,0.7733918128654971,0.6286549707602341,0.2748538011695905,0.07748538011695912,0.08333333333333333,0.4736842105263154,0.72953216374269,0.6418128654970761,0.31140350877193074,0.0,0.0;0.0,0.0,0.12938596491228066,0.6644736842105263,0.75,0.6315789473684211,0.625,0.5745614035087719,0.605263157894737,0.638157894736842,0.7083333333333334,0.6864035087719298,0.74780701754386,0.6666666666666666,0.7434210526315791,0.7083333333333334,0.9912280701754382,0.3881578947368441,0.0,0.0;0.0610207100591716,5
щ;0.14;0.10363636363636364;0.10181818181818182;0.17272727272727273;0.2018181818181818;0.18545454545454546;0.007272727272727273;0.007272727272727273;0.08;0.4941958041958042;0.41346153846153844;0.06523661792752701;0.03735576923076923;1.0;0.0,0.0,0.43609022556390975,0.8646616541353382,0.7161654135338348,0.3026315789473686,0.075187969924812,0.07142857142857142,0.47556390977443574,0.7556390977443609,0.6541353383458648,0.31766917293233066,0.07142857142857142,0.1353383458646613,0.6860902255639091,0.9718045112781954,0.680451127819549,0.3157894736842115,0.0,0.0;0.0,0.0,0.5668016194331984,0.6902834008097166,0.5951417004048583,0.5607287449392713,0.5769230769230769,0.6457489878542509,0.6902834008097165,0.6801619433198381,0.6477732793522267,0.6720647773279351,0.9595141700404862,0.12955465587044773,0.11538461538461539,0.12550607287449395,0.15182186234817804,0.11538461538461539,0.0,0.0;0.0610207100591716,4
ъ;0.10906040268456375;0.16946308724832215;0.0;0.04194630872483222;0.20973154362416108;0.1912751677852349;0.05201342281879195;0.10906040268456375;0.1174496644295302;0.4936757872999484;0.4788655136809499;0.044497552485108484;0.052160582008739936;1.0;0.0,0.0,0.06685633001422472,0.18776671408250356,0.16216216216216217,0.4125177809388335,0.716927453769559,0.9886201991465149,0.7581792318634424,0.4509246088193457,0.22048364153627317,0.12233285917496448,0.16216216216216217,0.23755334281650048,0.3556187766714082,0.5604551920341394,0.4608819345661452,0.23897581792318706,0.0,0.0;0.0,0.0,0.7048054919908466,0.8695652173913043,0.5491990846681927,0.391304347826087,0.30434782608695654,0.29519450800915326,0.9313501144164757,0.8558352402745996,0.7459954233409611,0.6750572082379863,0.6430205949656751,0.6475972540045765,0.6086956521739131,0.5652173913043478,0.5240274599542335,0.34553775743707277,0.0,0.0;0.08025147928994082,2
ы;0.11094452773613193;0.0;0.11244377811094453;0.16041979010494753;0.14992503748125938;0.1424287856071964;0.09745127436281859;0.09145427286356822;0.13493253373313344;0.48584361665321185;0.5123399838542267;0.07066190973691583;0.048170826561205526;1.0;0.0,0.0,0.537828947368421,0.9407894736842105,0.837171052631579,0.46052631578947373,0.125,0.17434210526315783,0.23355263157894735,0.5032894736842103,0.5723684210526316,0.356907894736842,0.0,0.2680921052631573,0.7105263157894735,0.9226973684210527,0.6973684210526321,0.37006578947368507,0.0,0.0;0.0,0.0,0.19221967963386716,0.9359267734553777,0.5217391304347826,0.459954233409611,0.4782608695652174,0.43478260869565216,0.9542334096109838,0.9496567505720824,0.8329519450800916,0.782608695652174,0.7482837528604118,0.6956521739130435,0.782608695652174,0.8169336384439361,0.82837528604119,0.35011441647597513,0.0,0.0;0.0602810650887574,3
ь;0.08833333333333333;0.09333333333333334;0.0;0.21166666666666667;0.09833333333333333;0.195;0.13333333333333333;0.07333333333333333;0.10666666666666667;0.44185897435897437;0.5212820512820513;0.052819078731097965;0.04342527942143327;1.0;0.0,0.0,0.069078947368421,0.537828947368421,0.8651315789473683,0.986842105263158,0.8273026315789475,0.5575657894736843,0.3141447368421053,0.125,0.125,0.17269736842105265,0.28125,0.43092105263157865,0.6513157894736843,0.5542763157894737,0.37993421052631604,0.03453947368421102,0.0,0.0;0.0,0.0,0.14619883040935666,0.5808966861598441,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.9025341130604286,0.8460038986354776,0.7407407407407407,0.6666666666666666,0.6003898635477583,0.5964912280701756,0.571150097465887,0.5458089668615984,0.5185185185185185,0.36842105263158054,0.0,0.0;0.07507396449704141,2
